X,Y,RECNO,COMMUNE_EX
2.1124,13.5875,5,1
2.1124,13.5625,64,1
2.1208,13.5625,65,1
2.0708,13.5541,81,1
2.0958,13.5541,84,1
2.1041,13.5541,85,1
2.1124,13.5541,86,1
2.1208,13.5541,87,1
2.1291,13.5541,88,1
2.0624,13.5458,100,1
2.0708,13.5458,101,1
2.0791,13.5458,102,1
2.0874,13.5458,103,1
2.0958,13.5458,104,1
2.1041,13.5458,105,1
2.1124,13.5458,106,1
2.1208,13.5458,107,1
2.1291,13.5458,108,1
2.1374,13.5458,109,1
2.1458,13.5458,110,2
2.0458,13.5375,119,1
2.0624,13.5375,121,1
2.0708,13.5375,122,1
2.0791,13.5375,123,1
2.0874,13.5375,124,1
2.0958,13.5375,125,1
2.1041,13.5375,126,1
2.1124,13.5375,127,1
2.1208,13.5375,128,1
2.1291,13.5375,129,1
2.1374,13.5375,130,2
2.1458,13.5375,131,2
2.0624,13.5291,142,1
2.0708,13.5291,143,1
2.0791,13.5291,144,1
2.0874,13.5291,145,1
2.0958,13.5291,146,1
2.1041,13.5291,147,1
2.1124,13.5291,148,1
2.1208,13.5291,149,1
2.1291,13.5291,150,2
2.1374,13.5291,151,2
2.1458,13.5291,152,2
2.0874,13.5208,168,1
2.0958,13.5208,169,1
2.1041,13.5208,170,1
2.1124,13.5208,171,1
2.1208,13.5208,172,2
2.1291,13.5208,173,2
2.1374,13.5208,174,2
2.1458,13.5208,175,2
2.1041,13.5125,192,1
2.1124,13.5125,193,2
2.1208,13.5125,194,2
2.1291,13.5125,195,2
2.1374,13.5125,196,2
2.1458,13.5125,197,2
2.0708,13.5041,210,3
2.0791,13.5041,211,3
2.0874,13.5041,212,3
2.0958,13.5041,213,3
2.1124,13.5041,215,2
2.1208,13.5041,216,2
2.1291,13.5041,217,2
2.1374,13.5041,218,2
2.1458,13.5041,219,2
2.1541,13.5041,220,2
2.0791,13.4958,232,3
2.0874,13.4958,233,3
2.0958,13.4958,234,3
2.1041,13.4958,235,3
2.1208,13.4958,237,2
2.1291,13.4958,238,2
2.1374,13.4958,239,2
2.1458,13.4958,240,2
2.1541,13.4958,241,2
2.0874,13.4875,255,3
2.0958,13.4875,256,3
2.1041,13.4875,257,3
2.1291,13.4875,260,2
2.1374,13.4875,261,2
2.1458,13.4875,262,2
2.1541,13.4875,263,2
2.1624,13.4875,264,2
2.1708,13.4875,265,2
2.0958,13.4791,276,3
2.1041,13.4791,277,3
2.1124,13.4791,278,3
2.1374,13.4791,281,2
2.1708,13.4791,285,2
2.1791,13.4791,286,2
2.1874,13.4791,287,2
2.1374,13.4708,303,2
2.1458,13.4708,304,2
2.1791,13.4708,308,2
2.1791,13.4625,333,2
2.1874,13.4625,334,2
2.1791,13.4541,357,2
2.1874,13.4541,358,2
2.1208,13.5875,6,1
2.0791,13.5541,82,1
2.1124,13.5791,23,1
2.0874,13.5541,83,1
2.0541,13.5291,141,1
2.1624,13.4958,242,2
2.1791,13.4875,266,2
2.1874,13.4708,309,2
2.1374,13.4625,328,2
2.1374,13.5541,89,1
2.0791,13.5208,167,1
2.0791,13.4875,254,3
2.1458,13.4625,329,2
2.1541,13.5208,176,2
2.0791,13.5125,189,3
2.1541,13.5125,198,2
2.1874,13.4875,267,2
2.1958,13.4875,268,2
2.1208,13.4791,279,3
2.1958,13.4791,288,2
2.1208,13.5791,24,1
2.0374,13.5375,118,1
2.1124,13.4875,258,3
2.1708,13.4708,307,2
2.1958,13.4625,335,2
2.0624,13.5541,80,1
2.0874,13.5125,190,1
2.1458,13.4791,282,2
2.1541,13.5291,153,2
2.0541,13.5208,164,1
2.0708,13.5208,166,1
2.1708,13.4958,243,2
2.1958,13.4541,359,2
2.1291,13.5625,66,1
2.0458,13.5458,98,1
2.0541,13.5375,120,1
2.0958,13.5125,191,1
2.0708,13.4958,231,3
2.1208,13.4875,259,2
2.2041,13.4791,289,2
2.1041,13.5791,22,1
2.1124,13.5708,43,1
2.1208,13.5708,44,1
2.0624,13.5208,165,1
2.1708,13.4625,332,2
2.1041,13.5875,4,1
2.1041,13.5041,214,3
2.1041,13.4708,299,3
2.1624,13.5041,221,2
2.2041,13.4875,269,2
2.1624,13.4791,284,2
2.1291,13.4791,280,2
2.1541,13.4791,283,2
2.1041,13.5625,63,1
2.0374,13.5458,97,1
2.0874,13.4791,275,3
2.1708,13.4541,356,2
2.0708,13.5125,188,3
2.0958,13.4708,298,3
2.1124,13.4958,236,3
2.1541,13.5375,132,2
2.1208,13.4708,301,3
2.0541,13.5458,99,1
2.1124,13.4708,300,3
2.0708,13.5625,59,1
2.1041,13.5708,42,1
2.1458,13.5541,90,1
2.0458,13.5291,140,1
2.1791,13.4958,244,2
2.0958,13.5625,62,1
2.1541,13.4708,305,2
2.1541,13.4625,330,2
2.1541,13.5458,111,2
2.1958,13.4708,310,2
2.0624,13.5041,209,3
2.1791,13.4458,372,2
2.1291,13.5791,25,1
2.0374,13.5291,139,1
2.1291,13.4708,302,2
2.0791,13.5625,60,1
2.1374,13.5625,67,1
2.0458,13.5208,163,1
2.0708,13.4875,253,3
2.1374,13.4541,352,2
2.1458,13.4541,353,2
2.0624,13.5625,58,1
2.1291,13.5958,0,1
2.1291,13.5875,7,1
2.0291,13.5375,117,1
2.1291,13.5708,45,1
2.0791,13.4791,274,3
2.0541,13.5541,79,1
2.2041,13.4625,336,2
2.0874,13.5625,61,1
2.1291,13.4625,327,2
2.1874,13.4958,245,2
2.1708,13.4458,371,2
2.1624,13.5125,199,2
2.1624,13.4708,306,2
2.1624,13.5208,177,2
2.1708,13.5041,222,2
